// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
LangTagItemData	dan	Varedata	date20030509	
LangTagOrderGSShopBuilder	dan	Order GS ShopBuilder	date20030509	//sc15oct2003 please do not translate
LangTagPersonalData	dan	Personlige data	date20030509	
//LangTagFNTermsAndCond	dan	Alm. Forretningsbetingelser	date20030514	
LangTagFNTermsAndCond	dan	AFB	date20030514	//sc15oct2003 text must not contain blank, . Or special characters
L_OnlineShopSlogan	dan	Welcome to our international Online Shop!	date20031201	
L_OrderButton	dan	bestil	date20031201	
L_OrderDialog	dan	: Vil du lægge den vare i din indkøbskurv?	date20031201	
L_Paperflier	dan	Papirflyver	date20031201	
L_PaperflierOnlineShop	dan	Papirflyver shoppen	date20031201	
L_ProductGroupNewCategory	dan	Ny varegruppe	date20031202	
L_ProductGroupRecycleBin	dan	Papirkurv	date20031203	//Lager : die Gelbe Tonne enthaelt die Artikel die in der gerade geloeschten Warengruppe enthalten waren
LangTagFieldMessage	dan	Weitere Nachricht?	date20040128	
LangTagFNFieldFirstNameSender	dan	AfsenderFornavn	date20040128	
LangTagFNFieldLastNameSender	dan	AfsenderEfternavn	date20040128	
LangTagFNFieldMessage	dan	Meddelelse	date20040128	
LangTagHello	dan	Hej	date20040128	
LangTagSubmit	dan	Send	date20040128	
LangTagTellAFriend	dan	Tip en ven	date20040128	
LangTagYourFriend	dan	Anbefal denne vare videre til	date20040128	
LangTagYourName	dan	Dit navn	date20040128	
LangTagCashDiscount	dan	Rabat	date20040129	
LangTagFieldCustomerNR	dan	Kundenr.	date20040129	
LangTagFNFieldTotalAmount	dan	fakturabelob	date20040129	
LangTagFNTotalAmount	dan	fakturabelob	date20040129	
LangTagOrderContinue	dan	Fortsæt din bestilling	date20040129	
LangTagPaymentSelection	dan	Tilbage til valget af betalingsmåden	date20040129	
LangTagWorldPayPayment	dan	WorldPay Betaling OK?	date20040129	
LangTagFNFieldCustomerNR	dan	KundeNr	date20040130	
LangTagTextSaveData	dan	Gem de indtastede data <br />(Data gemmes som cookie på din PC)	date20040131	Tabellenüberschrift buy3.htm
LangTagCrossSellingText	dan	Følgende produkter passer sammen med denne vare	date20040201	
LangTagFrom	dan	min.	date20040201	
LangTagFrom	dan	mindst/fra	date20040201	
